2019-10-29 11:15:39 status unpacked gtk-update-icon-cache:amd64 3.22.11-1
2019-10-29 11:15:39 status unpacked gtk-update-icon-cache:amd64 3.22.11-1
2019-10-29 11:15:39 install libpixman-1-0:amd64 <none> 0.34.0-1
2019-10-29 11:15:39 status half-installed libpixman-1-0:amd64 0.34.0-1
2019-10-29 11:15:39 status unpacked libpixman-1-0:amd64 0.34.0-1
2019-10-29 11:15:39 status unpacked libpixman-1-0:amd64 0.34.0-1
2019-10-29 11:15:39 install libxcb-render0:amd64 <none> 1.12-1
2019-10-29 11:15:39 status half-installed libxcb-render0:amd64 1.12-1
2019-10-29 11:15:39 status unpacked libxcb-render0:amd64 1.12-1
2019-10-29 11:15:39 status unpacked libxcb-render0:amd64 1.12-1
2019-10-29 11:15:40 install libxcb-shm0:amd64 <none> 1.12-1
2019-10-29 11:15:40 status half-installed libxcb-shm0:amd64 1.12-1
2019-10-29 11:15:40 status unpacked libxcb-shm0:amd64 1.12-1
2019-10-29 11:15:40 status unpacked libxcb-shm0:amd64 1.12-1
2019-10-29 11:15:40 install libxext6:amd64 <none> 2:1.3.3-1+b2
2019-10-29 11:15:40 status half-installed libxext6:amd64 2:1.3.3-1+b2
2019-10-29 11:15:40 status unpacked libxext6:amd64 2:1.3.3-1+b2
2019-10-29 11:15:40 status unpacked libxext6:amd64 2:1.3.3-1+b2
2019-10-29 11:15:40 install libxrender1:amd64 <none> 1:0.9.10-1
2019-10-29 11:15:40 status half-installed libxrender1:amd64 1:0.9.10-1
2019-10-29 11:15:40 status unpacked libxrender1:amd64 1:0.9.10-1
2019-10-29 11:15:40 status unpacked libxrender1:amd64 1:0.9.10-1
2019-10-29 11:15:40 install libcairo2:amd64 <none> 1.14.8-1
2019-10-29 11:15:40 status half-installed libcairo2:amd64 1.14.8-1
2019-10-29 11:15:40 status unpacked libcairo2:amd64 1.14.8-1
2019-10-29 11:15:40 status unpacked libcairo2:amd64 1.14.8-1
2019-10-29 11:15:40 install libcroco3:amd64 <none> 0.6.11-3
2019-10-29 11:15:40 status half-installed libcroco3:amd64 0.6.11-3
2019-10-29 11:15:40 status unpacked libcroco3:amd64 0.6.11-3
2019-10-29 11:15:40 status unpacked libcroco3:amd64 0.6.11-3
2019-10-29 11:15:41 install libthai-data:all <none> 0.1.26-1
